,,,,
,"dmlc/gluon-cv              
Link:  https://github.com/dmlc/gluon-cv
",,,
,Name,Type,status,url
,Separate schedulers and searchers as a two separate inputs in ImageClassification task,enhancement,open,https://github.com/dmlc/gluon-cv/issues/1633
,"FeatureExtractor, FPNFeatureExpander cannot support float16",enhancement,open,https://github.com/dmlc/gluon-cv/issues/1122
,Pretrained models on Google Open Images,enhancement,open,https://github.com/dmlc/gluon-cv/issues/11019
,,,,
,,,,
,"voxel51/fiftyone          
Link:  https://github.com/voxel51/fiftyone 
",,,
,Name,Type,status,url
,[BUG] Hangs and incomplete views ,bug,open,https://github.com/voxel51/fiftyone/issues/2005
,"[FR] Add ""active search"" indicator to Map UI",enhancement,open,https://github.com/voxel51/fiftyone/issues/1995
,[FR] Document how to install FiftyOne on Ubuntu 22.04 ,"enhancement, 
documentation",open,https://github.com/voxel51/fiftyone/issues/1988
,[BUG] Google Collab Scrolling and Fullscreen Issues,bug,open,https://github.com/voxel51/fiftyone/issues/1948
,[FR] increase brightness,enhancement,open,https://github.com/voxel51/fiftyone/issues/1561
,[BUG] Have some problems with Windows but works fine with Ubuntu,bug,open,https://github.com/voxel51/fiftyone/issues/1539
,No scroll bars in recipe/tutorial cards,enhancement,open,https://github.com/voxel51/fiftyone/issues/350
,[FR] Provide a more discoverable way to toggle between image grid view and expanded sample view,enhancement,open,https://github.com/voxel51/fiftyone/issues/472
,,,,
,,,,
,"facebookresearch/ParIAI         
Link:  https://github.com/facebookresearch/ParlAI
",,,
,Name,Type,status,url
,creating regression tests for multi-task usecases,enhancement,open,https://github.com/facebookresearch/ParlAI/issues/4579
,self-chaa improvements,enhancement,open,https://github.com/facebookresearch/ParlAI/issues/2221
,huggingFace Transformers interop,enhancement,open,https://github.com/facebookresearch/ParlAI/issues/2215
,Support tied positional weights in transformers,enhancement,open,https://github.com/facebookresearch/ParlAI/issues/2184
,support for pytorch quantization,enhancement,closed,https://github.com/facebookresearch/ParlAI/issues/2222
,type checking,enhancement,closed,https://github.com/facebookresearch/ParlAI/issues/2163
,TorchAgent could improve usability,"enhancement, agents",closed,https://github.com/facebookresearch/ParlAI/issues/904
,,,,
,,,,
,,,,
,"NaomiProject/Naomi        
Link:  https://github.com/NaomiProject/Naomi
",,,
,Name,Type,status,url
,Naomi does not listen while thinking,enhancement,open,https://github.com/NaomiProject/Naomi/issues/340
,Steps involved to add a new language?,enhancement,open,https://github.com/NaomiProject/Naomi/issues/265
,,,,
,,,,
,,,,
,"susi_server       
Link:  https://github.com/fossasia/susi_server
",,,
,Name,Type,status,url
,Parallellize build,issue-accessibility,Closed,https://github.com/fossasia/susi_server/issues/632
,mic button is not working...,issue-voice,Closed,https://github.com/fossasia/susi_server/issues/707
,,,,
,,,,
,,,,
,,,,
,"ItChat
Link: https://github.com/littlecodersh/ItChat
",,,
,Name,Type,status,url
,机器人能否发送分享的链接？,issue-voice,Closed,https://github.com/littlecodersh/ItChat/issues/547
,Voice 和 Recording的区别是什么？是否msgtype34是语音？,issue-voice,Closed,https://github.com/littlecodersh/ItChat/issues/408
,想问下 SnsFlag 是什么,issue-voice,Closed,https://github.com/littlecodersh/ItChat/issues/430
,,,,
,,,,
,"heartexlabs/labelImg
Link: https://github.com/heartexlabs/labelImg
",,,
,Name,Type,status,url
,Black shading covers the image,Issue,Open,https://github.com/heartexlabs/labelImg/issues/907
,labeling in a different language (Arabic),Issue,Open,https://github.com/heartexlabs/labelImg/issues/904
,Error saving annotations on Windows.,Issue,Open,https://github.com/heartexlabs/labelImg/issues/883
,快捷键 d 不管用,Issue,Open,https://github.com/heartexlabs/labelImg/issues/877
,为什么标注图片后点击保存再点击下一张出现you have unsaved changes,Issue,Open,https://github.com/heartexlabs/labelImg/issues/876
,Very dark images,Issue,Open,https://github.com/heartexlabs/labelImg/issues/828
,Unable to draw annotations on Windows,Issue,Open,https://github.com/heartexlabs/labelImg/issues/811
,"the keyboard shortcut ""ctrl + d"" does not work",Issue,Open,https://github.com/heartexlabs/labelImg/issues/646
,Shortcut key C not working,Issue,Open,https://github.com/heartexlabs/labelImg/issues/581
,Dragging by mouse?,Issue,Open,https://github.com/heartexlabs/labelImg/issues/194
,Add buttons to brighten and darken images,Issue,Closed,https://github.com/heartexlabs/labelImg/issues/860
,how can i change the toolbutton icon?,Issue,Closed,https://github.com/heartexlabs/labelImg/issues/303
,Cannot install on macOS High Sierra if I use qt4 and make qt4py2,Issue,Closed,https://github.com/heartexlabs/labelImg/issues/211
,Verify Image button has no icon,Issue,Closed,https://github.com/heartexlabs/labelImg/issues/187
,Different colors for labels,Issue,Closed,https://github.com/heartexlabs/labelImg/issues/177
,,,,
,,,,
,,,,
,,,,
,"hey-athena-client
Link: https://github.com/rcbyron/hey-athena-client
",,,
,Name,Type,status,url
,Start recording before the beep,Issue,Open,https://github.com/rcbyron/hey-athena-client/issues/12
,Set maximum active listening time,Issue,Open,https://github.com/rcbyron/hey-athena-client/issues/13
,Lower master volume after wake-up-word triggered,Issue,Open,https://github.com/rcbyron/hey-athena-client/issues/10
,unable to give voice input,Issue,Closed,https://github.com/rcbyron/hey-athena-client/issues/49
,Wake Up Word,Issue,Closed,https://github.com/rcbyron/hey-athena-client/issues/51
,Athena is triggered by background noises,Issue,Closed,https://github.com/rcbyron/hey-athena-client/issues/55
,"Saying ""Athena"" triggers this error.",Issue,Closed,https://github.com/rcbyron/hey-athena-client/issues/54
,,,,
,,,,
,Not categoty yet,,,
,Name,Type,status,url
,"Is this able to classify actions like sitting, standing, and lying down?",issue-camera,closed,https://github.com/smellslikeml/ActionAI/issues/50
,How to improve FPS?,issue-camera,closed,https://github.com/smellslikeml/ActionAI/issues/33
,Airflow will crash python when call urllib.request.urlopen(),issue-camera,closed,https://github.com/apache/airflow/issues/16076
,Is ROPES dataset available ?,issue-camera,closed,https://github.com/allenai/allennlp/issues/3257
,SRL demo giving non arguments in square brackets,issue-camera,closed,https://github.com/allenai/allennlp/issues/3166
,Wikitables Java serve process not getting killed,issue-camera,closed,https://github.com/allenai/allennlp/issues/2667
,Using Airsim stereo camera image with stereo_image_proc (ros),issue-camera,closed,https://github.com/microsoft/AirSim/issues/4634
,AirSim RVIZ Connection Errors,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4617
,Problems using ExternalPhysicsEngine parameter in settings.json PX4+Airsim+Unreal+QGroundControl,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4588
,client.simAddDetectionFilterMeshName function has bugs in detecting meshes,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4571
,[Ros1] airsim_ros_wrapper outputs wrong time sync for odom_local_ned and stereo camera,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4569
,FOV from settings.json not applied,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4557
,simLoadLevel (C++ API) doesn't destroy assets before loading new Level,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4542
,water foam and wave effects of the sea do not apply when in airsim mode,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4517
,AirSim C++ API hasn't the same number of arguments between Rpc client and server calls,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4484
,camera_tf is ambiguous when diffrent vehicles have same camera names in ROS2,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4475
,CameraDefaults->CaptureSettings cannot be applied to new cameras,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4469
,The camera_optical_tf is wrong in ENU coordinate system in ROS2,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4453
,ROS wrapper GPU memory leak,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4447
,"AirSim tutorial error: 'simGetImage' bad cast, WSAECONNREFUSED",issue-camera,closed,https://github.com/microsoft/AirSim/issues/4440
,RPCError when calling simGetImages with several instances of ImageRequest,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4375
,client.simgetdetections cannot detect object sometimes.,issue-camera,closed,https://github.com/microsoft/AirSim/issues/4367
